#x 	 y 	 errors
0.1 	 -15.3 	 1.04
1.33 	 0.32 	 0.594
2.55 	 2.45 	 0.983
3.78 	 2.75 	 0.998
5 	 2.27 	 1.11
6.22 	 1.35 	 0.398
7.45 	 0.157 	 0.535
8.68 	 -1.23 	 0.968
9.9 	 -2.75 	 0.478


#x 	 fit 	 fit+uncertainties 	 fit-uncertainties
4.265 	 2.61533 	 2.93176 	 2.2989 
4.314 	 2.59737 	 2.91158 	 2.28316 
4.363 	 2.5785 	 2.89048 	 2.26651 
4.412 	 2.55875 	 2.8685 	 2.24899 
4.461 	 2.53813 	 2.84566 	 2.2306 
4.51 	 2.51668 	 2.82198 	 2.21138 
4.559 	 2.49439 	 2.79747 	 2.19132 
4.608 	 2.4713 	 2.77215 	 2.17046 
4.657 	 2.44742 	 2.74605 	 2.1488 
4.706 	 2.42277 	 2.71919 	 2.12636 
4.755 	 2.39736 	 2.69157 	 2.10315 
4.804 	 2.3712 	 2.66322 	 2.07919 
4.853 	 2.34432 	 2.63415 	 2.0545 
4.902 	 2.31673 	 2.60438 	 2.02908 
4.951 	 2.28843 	 2.57393 	 2.00294 
5 	 2.25946 	 2.54281 	 1.97611 
5.049 	 2.22981 	 2.51103 	 1.94858 
5.098 	 2.1995 	 2.47862 	 1.92038 
5.147 	 2.16855 	 2.44558 	 1.89152 
5.196 	 2.13696 	 2.41193 	 1.86199 
5.245 	 2.10475 	 2.37768 	 1.83182 
5.294 	 2.07193 	 2.34285 	 1.80102 
5.343 	 2.03851 	 2.30745 	 1.76958 
5.392 	 2.00451 	 2.27149 	 1.73753 
5.441 	 1.96993 	 2.23498 	 1.70487 
5.49 	 1.93478 	 2.19794 	 1.67161 
5.539 	 1.89907 	 2.16039 	 1.63775 
5.588 	 1.86281 	 2.12232 	 1.60331 
5.637 	 1.82602 	 2.08376 	 1.56829 
5.686 	 1.7887 	 2.04471 	 1.5327 
5.735 	 1.75086 	 2.00518 	 1.49655 
5.784 	 1.71251 	 1.96519 	 1.45984 
5.833 	 1.67366 	 1.92475 	 1.42257 
5.882 	 1.63432 	 1.88387 	 1.38477 
5.931 	 1.59449 	 1.84255 	 1.34643 
5.98 	 1.55418 	 1.80081 	 1.30755 
6.029 	 1.51341 	 1.75866 	 1.26815 
6.078 	 1.47217 	 1.71611 	 1.22823 
6.127 	 1.43048 	 1.67316 	 1.18779 
6.176 	 1.38834 	 1.62983 	 1.14684 
6.225 	 1.34576 	 1.58613 	 1.10538 
6.274 	 1.30274 	 1.54206 	 1.06343 
6.323 	 1.2593 	 1.49763 	 1.02098 
6.372 	 1.21545 	 1.45286 	 0.978032 
6.421 	 1.17117 	 1.40774 	 0.934602 
6.47 	 1.12649 	 1.3623 	 0.890689 
6.519 	 1.08141 	 1.31653 	 0.846298 
6.568 	 1.03594 	 1.27044 	 0.801433 
6.617 	 0.990073 	 1.22405 	 0.756098 
6.666 	 0.943826 	 1.17735 	 0.710298 
6.715 	 0.8972 	 1.13036 	 0.664037 
6.764 	 0.850202 	 1.08309 	 0.617318 
6.813 	 0.802837 	 1.03553 	 0.570146 
6.862 	 0.755111 	 0.987697 	 0.522525 
6.911 	 0.707028 	 0.939598 	 0.474459 
6.96 	 0.658594 	 0.891236 	 0.425952 
7.009 	 0.609813 	 0.842619 	 0.377008 
7.058 	 0.560691 	 0.793751 	 0.327631 
7.107 	 0.511232 	 0.744638 	 0.277825 
7.156 	 0.46144 	 0.695285 	 0.227595 
7.205 	 0.411321 	 0.645697 	 0.176944 
7.254 	 0.360878 	 0.595878 	 0.125877 
7.303 	 0.310116 	 0.545834 	 0.0743986 
7.352 	 0.25904 	 0.495568 	 0.022512 
7.401 	 0.207653 	 0.445084 	 -0.029778 
7.45 	 0.155959 	 0.394386 	 -0.0824671 
7.499 	 0.103964 	 0.343478 	 -0.135551 
7.548 	 0.0516692 	 0.292363 	 -0.189025 
7.597 	 -0.00091971 	 0.241046 	 -0.242885 
7.646 	 -0.0537995 	 0.189527 	 -0.297126 
7.695 	 -0.106966 	 0.137812 	 -0.351745 
7.744 	 -0.160417 	 0.0859023 	 -0.406736 
7.793 	 -0.214147 	 0.0338006 	 -0.462094 
7.842 	 -0.268154 	 -0.0184905 	 -0.517817 
7.891 	 -0.322433 	 -0.0709685 	 -0.573898 
7.94 	 -0.376982 	 -0.123631 	 -0.630333 
7.989 	 -0.431798 	 -0.176477 	 -0.687118 
8.038 	 -0.486876 	 -0.229503 	 -0.744249 
8.087 	 -0.542214 	 -0.282708 	 -0.80172 
8.136 	 -0.597809 	 -0.33609 	 -0.859528 
8.185 	 -0.653657 	 -0.389647 	 -0.917667 
8.234 	 -0.709756 	 -0.443378 	 -0.976134 
8.283 	 -0.766102 	 -0.497281 	 -1.03492 
8.332 	 -0.822694 	 -0.551355 	 -1.09403 
8.381 	 -0.879526 	 -0.605598 	 -1.15346 
8.43 	 -0.936598 	 -0.660009 	 -1.21319 
8.479 	 -0.993906 	 -0.714586 	 -1.27323 
8.528 	 -1.05145 	 -0.76933 	 -1.33357 
8.577 	 -1.10922 	 -0.824237 	 -1.3942 
8.626 	 -1.16722 	 -0.879308 	 -1.45513 
8.675 	 -1.22545 	 -0.93454 	 -1.51635 
8.724 	 -1.2839 	 -0.989933 	 -1.57786 
8.773 	 -1.34257 	 -1.04549 	 -1.63964 
8.822 	 -1.40145 	 -1.1012 	 -1.70171 
8.871 	 -1.46056 	 -1.15707 	 -1.76404 
8.92 	 -1.51987 	 -1.2131 	 -1.82665 
8.969 	 -1.5794 	 -1.26928 	 -1.88952 
9.018 	 -1.63914 	 -1.32561 	 -1.95266 
9.067 	 -1.69908 	 -1.38211 	 -2.01605 
9.116 	 -1.75923 	 -1.43875 	 -2.0797 
9.165 	 -1.81958 	 -1.49555 	 -2.1436 
9.214 	 -1.88012 	 -1.55249 	 -2.20775 
9.263 	 -1.94087 	 -1.60959 	 -2.27215 
9.312 	 -2.00181 	 -1.66684 	 -2.33679 
9.361 	 -2.06295 	 -1.72423 	 -2.40166 
9.41 	 -2.12427 	 -1.78178 	 -2.46677 
9.459 	 -2.18579 	 -1.83947 	 -2.53212 
9.508 	 -2.2475 	 -1.8973 	 -2.59769 
9.557 	 -2.30939 	 -1.95528 	 -2.66349 
9.606 	 -2.37146 	 -2.0134 	 -2.72951 
9.655 	 -2.43371 	 -2.07167 	 -2.79576 
9.704 	 -2.49615 	 -2.13008 	 -2.86222 
9.753 	 -2.55876 	 -2.18863 	 -2.9289 
9.802 	 -2.62155 	 -2.24732 	 -2.99579 
9.851 	 -2.68452 	 -2.30615 	 -3.06289 
